,AD,Full-flowering date (DOY),Full-flowering date,Source code,Data type code,Reference Name,trendline_degree1,trendline_degree2,trendline_degree3,trendline_degree4
957,1758,101,411,4,2,MYOHOIN-HINAMIKI,104.142326098856,104.53807258853607,105.555354698044,106.77478265809651
958,1759,109,419,4,2,MYOHOIN-HINAMIKI,104.14081252995055,104.52819233182802,105.54341160623753,106.77234569415333
959,1760,103,412,4,2,MYOHOIN-HINAMIKI,104.13929896104509,104.51828090389155,105.53137483877865,106.76972731427287
960,1761,89,330,4,2,MYOHOIN-HINAMIKI,104.13778539213963,104.50833830472664,105.51924418084377,106.76692610372578
961,1762,106,416,4,2,MYOHOIN-HINAMIKI,104.13627182323418,104.49836453433328,105.50701941760941,106.76394064385357
962,1763,112,422,4,1,MYOHOIN-HINAMIKI,104.13475825432873,104.48835959271149,105.49470033425197,106.76076951205852
963,1764,98,407,4,2,GOSAKURAMACHI-TENNNOU-SHINKI,104.13324468542328,104.47832347986126,105.48228671594798,106.75741128181204
964,1765,106,416,4,2,GOSAKURAMACHI-TENNNOU-SHINKI,104.13173111651781,104.46825619578259,105.46977834787381,106.75386452265087
965,1766,113,423,4,2,GOSAKURAMACHI-TENNNOU-SHINKI,104.13021754761236,104.45815774047549,105.45717501520605,106.7501278001784
966,1767,101,411,4,2,GOSAKURAMACHI-TENNNOU-SHINKI,104.12870397870691,104.44802811393994,105.44447650312102,106.74619967606344
967,1768,117,426,4,1,SADAHARU-KYOKI,104.12719040980146,104.43786731617597,105.43168259679531,106.74207870804076
968,1769,105,415,6,2,YANAGIHARA-KOREMITSU-NIKKI,104.12567684089599,104.42767534718355,105.41879308140537,106.73776344991205
969,1770,105,415,4,2,(SHIRYO-KOHON),104.12416327199054,104.4174522069627,105.40580774212755,106.73325245154484
970,1771,104,414,4,2,(SHIRYO-KOHON),104.12264970308509,104.4071978955134,105.39272636413848,106.7285442588722
971,1772,106,415,4,2,GOSAKURAMACHI-TENNNOU-SHINKI,104.12113613417964,104.39691241283568,105.37954873261451,106.72363741389364
972,1773,100,410,3,2,ZOKU-SHIGUSHO,104.11962256527417,104.38659575892952,105.36627463273213,106.71853045467486
973,1774,110,420,4,2,GOSAKURAMACHI-TENNNOU-SHINKI,104.11810899636872,104.3762479337949,105.35290384966778,106.71322191534813
974,1775,99,409,4,2,GOMOMOZONO-TENNNOU-SHINKI,104.11659542746327,104.36586893743187,105.33943616859804,106.70771032611168
975,1776,108,417,4,2,TERUYOSHI-KOKI,104.11508185855782,104.3554587698404,105.3258713746992,106.70199421322872
976,1777,104,414,3,1,MORIYAMA-TAKAMORI-NIKKI,104.11356828965236,104.34501743102047,105.31220925314787,106.69607209902853
977,1778,111,421,4,3,TERUYOSHI-KOKI,104.1120547207469,104.33454492097212,105.29844958912042,106.6899425019098
978,1779,96,406,4,2,MYOHOIN-HINAMIKI,104.11054115184145,104.32404123969533,105.28459216779343,106.6836039363339
979,1780,109,418,4,2,TERUYOSHI-KOKI,104.109027582936,104.3135063871901,105.27063677434319,106.67705491282749
